Title,Author,Description,Genre,Themes,Mood
"The Hobbit","J.R.R. Tolkien","A fantasy novel about Bilbo Baggins, a hobbit who is swept into an epic quest with dwarves to reclaim their homeland from the dragon Smaug.","Fantasy","adventure,friendship,growth","Lighthearted"
"The Lord of the Rings","J.R.R. Tolkien","An epic fantasy about the struggle to destroy a powerful ring and defeat a dark lord.","Fantasy","good vs evil,sacrifice,friendship","Epic"
"The Silmarillion","J.R.R. Tolkien","A mythological history of Middle-earth describing the creation of the world and its earliest ages.","Fantasy","mythology,creation,history","Mythic"
"A Game of Thrones","George R.R. Martin","A fantasy novel about noble families vying for control of the Iron Throne.","Fantasy","power,politics,betrayal","Dark"
"A Clash of Kings","George R.R. Martin","The second book in A Song of Ice and Fire, following the war of five kings across Westeros.","Fantasy","war,power,survival","Dark"
"The Name of the Wind","Patrick Rothfuss","A lyrical fantasy recounting the life of Kvothe, a gifted musician and magician.","Fantasy","storytelling,ambition,magic","Lyrical"
"The Wise Man's Fear","Patrick Rothfuss","Kvothe continues his education and travels the world seeking knowledge and power.","Fantasy","ambition,love,magic","Lyrical"
"Mistborn","Brandon Sanderson","A fantasy novel set in a world where magic is fueled by ingesting metals.","Fantasy","rebellion,power,identity","Hopeful"
"The Well of Ascension","Brandon Sanderson","The second Mistborn novel following the aftermath of revolution and new threats to the realm.","Fantasy","leadership,sacrifice,politics","Tense"
"The Way of Kings","Brandon Sanderson","An epic fantasy about war, leadership, and honor in a storm-ravaged world.","Fantasy","honor,leadership,sacrifice","Epic"
"Words of Radiance","Brandon Sanderson","The second Stormlight Archive book expanding the world and deepening conflicts between ancient forces.","Fantasy","honor,destiny,war","Epic"
"American Gods","Neil Gaiman","A fantasy novel blending mythology and modern America, following a man drawn into a war between old and new gods.","Fantasy","mythology,belief,identity","Moody"
"Good Omens","Neil Gaiman & Terry Pratchett","A comedic fantasy about an angel and a demon teaming up to stop the apocalypse.","Fantasy","fate,friendship,free will","Humorous"
"Neverwhere","Neil Gaiman","A dark fantasy about an ordinary man who falls into the hidden world beneath London.","Fantasy","identity,adventure,darkness","Dark"
"The Ocean at the End of the Lane","Neil Gaiman","A haunting novella about memory, childhood, and ancient powers awakened in rural England.","Fantasy","memory,childhood,fear","Melancholic"
"Circe","Madeline Miller","A retelling of the myth of Circe, the witch of Greek legend who discovers her powers and forges her own path.","Fantasy","mythology,power,identity","Lyrical"
"The Song of Achilles","Madeline Miller","A retelling of the Iliad told from the perspective of Patroclus and his relationship with Achilles.","Fantasy","love,war,mythology","Emotional"
"Jonathan Strange and Mr Norrell","Susanna Clarke","An alternate history novel set in 19th century England where two magicians attempt to revive English magic.","Fantasy","magic,rivalry,history","Gothic"
"The Night Circus","Erin Morgenstern","Two young magicians compete in a mysterious magical circus in an elaborately described Victorian setting.","Fantasy","magic,love,competition","Enchanting"
"Piranesi","Susanna Clarke","A man lives alone in a labyrinthine House filled with statues and tides, slowly uncovering the truth of his reality.","Fantasy","mystery,identity,isolation","Dreamlike"

"Dune","Frank Herbert","A science fiction epic set on the desert planet Arrakis, focusing on politics, religion, and power.","Science Fiction","politics,religion,ecology","Epic"
"Dune Messiah","Frank Herbert","The second Dune novel examining the consequences of Paul Atreides becoming a religious and political icon.","Science Fiction","power,religion,fate","Philosophical"
"Foundation","Isaac Asimov","A science fiction classic about preserving knowledge during the collapse of a galactic empire.","Science Fiction","history,knowledge,empire","Intellectual"
"Foundation and Empire","Isaac Asimov","The second Foundation novel in which the growing Foundation faces a military threat from the declining Empire.","Science Fiction","history,power,destiny","Intellectual"
"Hyperion","Dan Simmons","A science fiction epic featuring interconnected stories told by pilgrims traveling to meet a terrifying being called the Shrike.","Science Fiction","time,religion,storytelling","Grand"
"The Fall of Hyperion","Dan Simmons","The conclusion to the Hyperion saga as war breaks out across the galaxy and the fates of the pilgrims are revealed.","Science Fiction","war,fate,sacrifice","Grand"
"The Left Hand of Darkness","Ursula K. Le Guin","A science fiction novel exploring gender and politics on an alien planet where inhabitants have no fixed sex.","Science Fiction","gender,culture,politics","Thoughtful"
"The Dispossessed","Ursula K. Le Guin","A physicist from an anarchist moon visits the capitalist home planet and grapples with two contrasting societies.","Science Fiction","anarchism,society,freedom","Thoughtful"
"Neuromancer","William Gibson","A cyberpunk novel about a washed-up hacker hired for one last job navigating a dangerous high-tech underworld.","Cyberpunk","technology,identity,capitalism","Gritty"
"Snow Crash","Neal Stephenson","A cyberpunk novel set in a fractured America where a pizza deliveryman investigates a dangerous new drug tied to virtual reality.","Cyberpunk","virtual reality,language,corporations","Chaotic"
"The Martian","Andy Weir","A science fiction novel about an astronaut stranded alone on Mars who must use science and ingenuity to survive.","Science Fiction","survival,science,problem-solving","Optimistic"
"Project Hail Mary","Andy Weir","An astronaut wakes up alone in deep space with no memory and must figure out how to save Earth from an existential threat.","Science Fiction","survival,science,friendship","Optimistic"
"Ender's Game","Orson Scott Card","A novel about a gifted child trained in a military school in space to lead humanity's war against an alien species.","Science Fiction","war,ethics,leadership","Tense"
"Blade Runner (Do Androids Dream of Electric Sheep?)","Philip K. Dick","A sci-fi novel set in a post-nuclear world where a bounty hunter tracks down rogue androids, questioning what it means to be human.","Science Fiction","identity,technology,morality","Noir"
"The Man in the High Castle","Philip K. Dick","An alternate history in which the Axis powers won World War II, exploring identity and the nature of reality.","Science Fiction","alternate history,identity,oppression","Unsettling"
"Ready Player One","Ernest Cline","A science fiction adventure set in a virtual reality world where a teenager hunts for a treasure hidden by its creator.","Science Fiction","escapism,technology,competition","Fun"
"Childhood's End","Arthur C. Clarke","Aliens arrive on Earth and usher in a golden age of peace, but their true motives remain hidden.","Science Fiction","alien contact,humanity,evolution","Eerie"
"2001: A Space Odyssey","Arthur C. Clarke","A spacecraft on a mysterious mission to Jupiter encounters a malevolent artificial intelligence.","Science Fiction","technology,evolution,mystery","Eerie"
"Old Man's War","John Scalzi","An elderly man enlists in an interstellar army and receives a new body to fight in humanity's wars across the galaxy.","Science Fiction","war,identity,mortality","Action-Packed"
"The Hitchhiker's Guide to the Galaxy","Douglas Adams","A hapless Englishman is swept across the absurd universe after Earth is demolished to make way for a hyperspace bypass.","Science Fiction","absurdity,adventure,humor","Humorous"
"I, Robot","Isaac Asimov","A collection of stories exploring the relationship between humans and robots governed by the Three Laws of Robotics.","Science Fiction","robotics,ethics,humanity","Intellectual"
"Flowers for Algernon","Daniel Keyes","A man with an intellectual disability undergoes an experimental procedure that dramatically increases his intelligence.","Science Fiction","intelligence,identity,loneliness","Emotional"
"The Time Machine","H.G. Wells","A scientist builds a time machine and travels to a distant future where humanity has split into two distinct species.","Science Fiction","time,class,evolution","Eerie"
"Sphere","Michael Crichton","Scientists investigate a mysterious spacecraft on the ocean floor and encounter something that defies explanation.","Science Fiction","psychology,fear,mystery","Tense"
"Jurassic Park","Michael Crichton","A billionaire creates a theme park populated with cloned dinosaurs, with catastrophic results.","Science Fiction","science,hubris,nature","Thrilling"

"1984","George Orwell","A dystopian novel set in a totalitarian surveillance state where a man struggles to maintain his humanity.","Dystopian","surveillance,freedom,control","Oppressive"
"Animal Farm","George Orwell","A political allegory in which farm animals overthrow their human farmer, only to fall into a new tyranny.","Dystopian","power,corruption,equality","Dark"
"Brave New World","Aldous Huxley","A dystopian novel about a society obsessed with stability and pleasure through conditioning and drug use.","Dystopian","conformity,technology,control","Cold"
"Fahrenheit 451","Ray Bradbury","A novel about a future America where books are outlawed and firemen burn them, following one fireman's awakening.","Dystopian","censorship,knowledge,rebellion","Urgent"
"The Handmaid's Tale","Margaret Atwood","A dystopian novel about a theocratic American regime in which women are enslaved as reproductive vessels.","Dystopian","oppression,gender,power","Disturbing"
"The Testaments","Margaret Atwood","A sequel to The Handmaid's Tale told from three perspectives as the theocratic regime begins to crack from within.","Dystopian","resistance,power,justice","Tense"
"We","Yevgeny Zamyatin","One of the earliest dystopian novels, set in a glass-walled city-state where a man begins to question his perfectly ordered world.","Dystopian","freedom,conformity,surveillance","Cold"
"Lord of the Flies","William Golding","A group of British boys stranded on a deserted island descend into savagery in the absence of adult authority.","Dystopian","civilization,violence,power","Disturbing"
"Never Let Me Go","Kazuo Ishiguro","Students at a seemingly idyllic English boarding school slowly uncover the disturbing truth of their purpose in life.","Dystopian","identity,mortality,love","Melancholic"
"The Children of Men","P.D. James","In a world where humanity has become infertile, a bureaucrat is drawn into a resistance movement when a pregnant woman appears.","Dystopian","hope,mortality,society","Bleak"
"The Road","Cormac McCarthy","A father and son journey through a desolate post-apocalyptic America, struggling to survive and hold onto hope.","Post-Apocalyptic","survival,parenthood,hope","Bleak"
"Station Eleven","Emily St. John Mandel","A post-apocalyptic story interweaving the lives of survivors of a flu pandemic through the lens of art and memory.","Post-Apocalyptic","art,loss,civilization","Melancholic"
"The Stand","Stephen King","An epic post-apocalyptic struggle between good and evil following a devastating plague that wipes out most of humanity.","Post-Apocalyptic","good vs evil,society,survival","Epic"
"A Canticle for Leibowitz","Walter M. Miller Jr.","A science fiction novel following a monastery preserving scientific knowledge across thousands of years after a nuclear war.","Post-Apocalyptic","religion,knowledge,history","Philosophical"
"World War Z","Max Brooks","An oral history of a global zombie war told through survivor interviews from around the world.","Post-Apocalyptic","survival,society,war","Tense"

